additional_technical_asd_m_s2_sqrt_hz,mean_ser,worst_observed_ser,trials
0.0,0.0,0.0,980000
5e-11,1.020408163265306e-06,5e-05,980000
1e-10,1.4285714285714285e-05,0.0002,980000
2e-10,0.002136734693877551,0.00405,980000
5e-10,0.2880030612244898,0.2978,980000
