time_s,target_hz,actual_hz,torque_nm,power_w
0.0,49.83125,49.83125,0.04953404572564612,7.754529542450003
0.1,49.83332960605621,49.83333672407492,0.10953414603283444,17.14823264674396
0.2,49.84629898071289,49.846311713729946,0.2583943362023365,40.46372791565494
0.3,49.876970934867856,49.87698607983523,0.454684228434685,71.2459144899542
0.4,49.9282958984375,49.92831077368975,0.6632513384680588,104.0339002508344
0.5,50.00000565052032,50.00001811073215,0.855331270025784,134.35517038032398
0.6,50.089257049560544,50.08926548584812,1.0085490922939475,158.70535422281577
0.7,50.191275763511655,50.19127910343693,1.1069199846201248,174.53975608273134
0.8,50.3,50.29999770755363,1.1408498774765126,180.27949715830607
0.9,50.40872423648834,50.408716312118365,1.1071360900651221,175.330115417077
1.0,50.51074295043945,50.51072993103005,1.0089679726967384,160.10721309647806
1.1,50.59999434947967,50.59997730835599,0.855927545383993,136.06210882504584
1.2,50.6717041015625,50.67168464849285,0.6639901378635287,105.70045209372874
1.3,50.72302906513214,50.72300934632586,0.4555250297076911,72.58838428287933
1.4,50.75370101928711,50.75368371739375,0.25929609013641425,41.344087378868686
1.5,50.766670393943784,50.76665872806068,0.1104624175039532,17.61744794964309
1.6,50.76875,50.768747725660255,0.050578980154087724,8.067080524735578
1.7,50.76875,50.76874998689389,0.050466715838562354,8.049175317125483
1.8,50.76875,50.768750002129764,0.05046595940574419,8.049054672491431
1.9,50.76875,50.7687500022322,0.05046595430892899,8.049053859592497
2.0,50.76875,50.768750002232714,0.05046595427458683,8.049053854115186
2.1,50.76875,50.768750002232714,0.05046595427435544,8.04905385407828
2.2,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.3,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.4,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.5,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.6,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.7,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.8,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
2.9,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.0,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.1,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.2,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.3,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.4,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.5,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.6,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.7,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.8,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
3.9,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
4.0,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
4.1,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
4.2,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
4.3,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
4.4,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
4.5,50.76875,50.768750002232714,0.0504659542743539,8.049053854078034
