symbol_s,payload_bit_s,peak_inertial_torque_nm,worst_observed_ser,mean_ser
4.0,0.6666666666666666,4.363625848548629,0.16,0.13279183673469389
6.0,0.4444444444444444,1.9393892660216128,0.005,0.0014938775510204081
8.0,0.3333333333333333,1.0909064621371571,0.0,0.0
