harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,9.290012116580226e-17,-8.877278003118343e-17,-2.738295159685786e-17
2,60,2.974094968365799e-11,-2.9740949683657904e-11,-2.1963391574963646e-18
3,90,1.2378145145966226e-17,-1.1731366203750552e-17,-3.948863665424093e-18
4,120,1.411534631059769e-12,-1.4115346310597293e-12,-3.3530841780808747e-19
5,150,7.532207131137301e-19,-7.124060215931209e-19,-2.445794412075921e-19
6,180,5.4251941012444754e-14,-5.425194101244106e-14,-2.0016391050764856e-20
7,210,4.3902043324520294e-20,-4.294673519614279e-20,-9.108641175304213e-21
8,240,2.361344827422031e-15,-2.361344827422009e-15,3.232121417148637e-22
9,270,1.7470603541709946e-21,-1.7465253831777475e-21,4.323155134740481e-23
10,300,8.304182297181827e-17,-8.304182297152995e-17,-2.188233241605554e-22
11,330,2.0553143581979705e-22,-1.313850838842375e-22,1.5805420223100437e-22
12,360,3.564012733029045e-18,-3.56401273291848e-18,-2.8073374859027674e-23
13,390,8.555713802185321e-24,-3.933008203649617e-25,8.546669124846513e-24
14,420,1.1355182950996895e-19,-1.1355182948044331e-19,-2.5894749823934305e-24
15,450,6.176262524882981e-25,-3.7046412687706247e-25,4.941847007546417e-25
16,480,5.128815642309259e-21,-5.128815635817164e-21,-2.5805718889844915e-25
