harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,1.970719705202235e-18,1.9681610527716266e-18,1.0039037217415867e-19
2,60,1.4985576653070684e-12,-1.4985576653070684e-12,4.627921355883497e-21
3,90,1.0943475417140094e-19,-1.09277753169156e-19,-5.859870549421143e-21
4,120,1.937109484335302e-14,-1.9371094843352995e-14,9.652776407037517e-22
5,150,4.0575458555853474e-21,-4.0421547489181625e-21,-3.530769830733429e-22
6,180,2.0432838748800547e-16,-2.0432838748800394e-16,2.5016883207400897e-23
7,210,1.0452584420915916e-22,-1.0256736766085048e-22,-2.0139195583769848e-23
8,240,2.3784592921940185e-18,-2.378459292193624e-18,1.3694994752155125e-24
9,270,2.3602345400151777e-24,-2.3331969619555394e-24,-3.562288879387793e-25
10,300,2.42203204952135e-20,-2.4220320495185488e-20,3.683555438510358e-26
11,330,5.642214573956318e-26,-5.490036824407398e-26,-1.3015686555905576e-26
12,360,2.709165104056531e-22,-2.7091651039832746e-22,1.9923041365952254e-27
13,390,2.5497492424712257e-27,-2.376090133444094e-27,-9.248874943647019e-28
14,420,2.709874468641547e-24,-2.7098735796996293e-24,2.1949581366509358e-27
15,450,1.0291032925894523e-27,-7.531598727638053e-28,-7.012872399216033e-28
16,480,2.948644593055909e-26,-2.9485276030214406e-26,-2.6266145101406623e-28
