phase_rad,time_s,ac_acceleration_m_s2,second_harmonic_m_s2
0.0,0.0,-5.950361804937697e-10,-4.718133035406321e-10
0.02454369260617026,0.00013020833333333333,-5.937151068103707e-10,-4.712450030241222e-10
0.04908738521234052,0.00026041666666666666,-5.897653116419946e-10,-4.6954143201914e-10
0.07363107781851078,0.000390625,-5.832273231132811e-10,-4.667066945774514e-10
0.09817477042468103,0.0005208333333333333,-5.741676406658565e-10,-4.6274761982984727e-10
0.1227184630308513,0.0006510416666666667,-5.626772092104703e-10,-4.576737455341686e-10
0.14726215563702155,0.00078125,-5.488693725533426e-10,-4.514972950980125e-10
0.1718058482431918,0.0009114583333333335,-5.328773886818613e-10,-4.4423314813147297e-10
0.19634954084936207,0.0010416666666666667,-5.148516037734129e-10,-4.3589880460085637e-10
0.22089323345553233,0.0011718750000000002,-4.949563902756902e-10,-4.2651434266973035e-10
0.2454369260617026,0.0013020833333333335,-4.733669569513581e-10,-4.161023703288687e-10
0.2699806186678728,0.0014322916666666666,-4.5026613569775475e-10,-4.0468797093162166e-10
0.2945243112740431,0.0015625,-4.258412419471542e-10,-3.922986427659205e-10
0.3190680038802134,0.0016927083333333336,-4.0028109351352605e-10,-3.789642328084934e-10
0.3436116964863836,0.001822916666666667,-3.7377325803389435e-10,-3.647168648208841e-10
0.36815538909255385,0.001953125,-3.4650158285927097e-10,-3.495908619604969e-10
0.39269908169872414,0.0020833333333333333,-3.186440445259649e-10,-3.3362266409310375e-10
0.4172427743048944,0.002213541666666667,-2.903709387844599e-10,-3.1685074000601617e-10
0.44178646691106466,0.0023437500000000003,-2.6184341738363965e-10,-2.9931549473340713e-10
0.4663301595172349,0.0024739583333333332,-2.332123649807593e-10,-2.810591722170443e-10
0.4908738521234052,0.002604166666666667,-2.046175990224538e-10,-2.621257535369346e-10
0.5154175447295755,0.0027343750000000003,-1.761873673599915e-10,-2.4256085095704993e-10
0.5399612373357456,0.002864583333333333,-1.4803811268708122e-10,-2.2241159804138867e-10
0.5645049299419159,0.002994791666666667,-1.2027446944718765e-10,-2.0172653610509035e-10
0.5890486225480862,0.003125,-9.298945738180852e-11,-1.8055549727415712e-10
