harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,7.568297265698343e-16,7.568092005780738e-16,5.573951932611891e-18
2,60,1.647522856890651e-12,-1.6475228568901191e-12,1.3238872676236499e-18
3,90,2.750387348378173e-17,2.7502986924776955e-17,2.208321249716403e-19
4,120,2.286084873674626e-14,-2.2860848736713718e-14,3.8572763763785984e-20
5,150,5.607192321315027e-19,5.6069968018247375e-19,4.6825127243426734e-21
6,180,2.2382337431921564e-16,-2.238233743180944e-16,7.08461959429975e-22
7,210,9.559852173986258e-21,9.559571595233298e-21,7.324277492333308e-23
8,240,2.802949255129743e-18,-2.8029492551049563e-18,1.1787801073897128e-23
9,270,1.5056631922467262e-22,1.5056195879888933e-22,1.145882850717605e-24
10,300,2.5892762086892755e-20,-2.5892762086474933e-20,1.4709559487745542e-25
11,330,2.2681582038139783e-24,2.2680985189837675e-24,1.6454352381430984e-26
12,360,3.1531816125695955e-22,-3.1531816124763125e-22,2.4254440869537014e-27
13,390,3.6216550784700553e-26,3.5600239825867864e-26,6.652929811856275e-27
14,420,2.7486463651264138e-24,-2.7486462899620683e-24,6.4280666166943395e-28
15,450,4.618248330460715e-27,-4.616407215411121e-27,-1.3039196027103852e-28
16,480,3.469840095191882e-26,-3.46553609544254e-26,1.7277111270719317e-27
