component,harmonic,coefficient_real_m_s2,coefficient_imag_m_s2,amplitude_m_s2
steel,2,-2.4639989825121797e-11,4.672441708254318e-20,2.4639989825121797e-11
steel,4,-1.1934233370479667e-12,9.086664089557608e-20,1.1934233370479701e-12
steel,6,-5.500799689002616e-14,1.2155491045581298e-20,5.5007996890027506e-14
aluminum,2,1.8481797544655187e-13,1.5976142631379478e-20,1.8481797544655256e-13
aluminum,4,-6.745793922208547e-14,-4.226017031377178e-20,6.745793922209871e-14
aluminum,6,1.901036111050519e-15,-6.39156861562741e-21,1.9010361110612638e-15
