harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,6.7447199582265986e-15,6.7219431835234196e-15,5.538295336863577e-16
2,60,2.4378359947690278e-11,-2.437835994768938e-11,6.618530147599202e-18
3,90,1.4440925370182883e-15,1.4418355487645724e-15,8.070629337716273e-17
4,120,1.2574673489070177e-12,-1.2574673488959344e-12,5.279570890362886e-18
5,150,1.2310654969078435e-16,1.2293095400040327e-16,6.5729084369319215e-18
6,180,5.2912472600283405e-14,-5.291247259552133e-14,7.098919239667593e-19
7,210,8.360959952868904e-18,8.348943884230262e-18,4.480930165174268e-19
8,240,2.4610588521325687e-15,-2.461058851295775e-15,6.417785221837294e-20
9,270,5.128206244658403e-19,5.119809162457268e-19,2.933486454239158e-20
10,300,9.996926268713835e-17,-9.996926256420402e-17,4.957752450289401e-21
11,330,2.9799410169710404e-20,2.9744455397710375e-20,1.8089277366047124e-21
12,360,4.469139713788391e-18,-4.469139699560758e-18,3.5660980652649834e-22
13,390,1.6804814370537305e-21,1.6766306610445904e-21,1.1369910609741494e-22
14,420,1.7827782918933448e-19,-1.7827782784926765e-19,2.1858829011399702e-23
15,450,9.321819362177742e-23,9.295476109837448e-23,7.003142955224503e-24
16,480,7.849643333803378e-21,-7.84964319441317e-21,1.4792994362656343e-24
