phase_rad,time_s,ac_acceleration_m_s2,second_harmonic_m_s2
0.0,0.0,-1.8352413847284007e-12,-1.8117911864116926e-12
0.02454369260617026,0.00013020833333333333,-1.832941175388236e-12,-1.809608940783006e-12
0.04908738521234052,0.00026041666666666666,-1.826045870550306e-12,-1.8030671887129498e-12
0.07363107781851078,0.000390625,-1.814574746729655e-12,-1.7921816898552509e-12
0.09817477042468103,0.0005208333333333333,-1.7985598496879755e-12,-1.7769786683301142e-12
0.1227184630308513,0.0006510416666666667,-1.7780458714635667e-12,-1.7574947495480215e-12
0.14726215563702155,0.00078125,-1.7530899793543544e-12,-1.7337768719759082e-12
0.1718058482431918,0.0009114583333333335,-1.7237615979809249e-12,-1.705882174058287e-12
0.19634954084936207,0.0010416666666666667,-1.6901421458577533e-12,-1.6738778565657274e-12
0.22089323345553233,0.0011718750000000002,-1.6523247281858723e-12,-1.637841020702317e-12
0.2454369260617026,0.0013020833333333335,-1.6104137878505598e-12,-1.5978584823621043e-12
0.2699806186678728,0.0014322916666666666,-1.5645247168492654e-12,-1.5540265629820078e-12
0.2945243112740431,0.0015625,-1.5147834306035033e-12,-1.5064508574950367e-12
0.3190680038802134,0.0016927083333333336,-1.4613259078035252e-12,-1.4552459799428488e-12
0.3436116964863836,0.001822916666666667,-1.4042976986072079e-12,-1.400535287360485e-12
0.36815538909255385,0.001953125,-1.3438534041578493e-12,-1.3424505825984669e-12
0.39269908169872414,0.0020833333333333333,-1.2801561304996653e-12,-1.2811317967981856e-12
0.4172427743048944,0.002213541666666667,-1.2133769200553648e-12,-1.2167266522855246e-12
0.44178646691106466,0.0023437500000000003,-1.1436941638867181e-12,-1.1493903066948402e-12
0.4663301595172349,0.0024739583333333332,-1.0712929979830938e-12,-1.0792849791806274e-12
0.4908738521234052,0.002604166666666667,-9.9636468682452e-13,-1.006579559617369e-12
0.5154175447295755,0.0027343750000000003,-9.191059974335132e-13,-9.314492017290357e-13
0.5399612373357456,0.002864583333333333,-8.397185670764082e-13,-8.540749011284232e-13
0.5645049299419159,0.002994791666666667,-7.584082676937839e-13,-7.746430592828658e-13
0.5890486225480862,0.003125,-6.753845700369552e-13,-6.933450344567774e-13
0.6135923151542565,0.003255208333333334,-5.908599103639948e-13,-6.103766807128302e-13
0.6381360077604268,0.003385416666666667,-5.050490624058513e-13,-5.259378760823628e-13
0.662679700366597,0.003515625,-4.1816851715431344e-13,-4.40232041041696e-13
0.6872233929727672,0.003645833333333334,-3.304358728524719e-13,-3.5346564845438684e-13
0.7117670855789375,0.003776041666666667,-2.4206923738043036e-13,-2.658477261600167e-13
0.7363107781851077,0.00390625,-1.5328664503956885e-13,-1.7758935340781682e-13
0.760854470791278,0.004036458333333334,-6.430548953535582e-14,-8.890315234826687e-14
0.7853981633974483,0.004166666666666667,2.4658025243979596e-14,-2.775807713496532e-18
0.8099418560036186,0.004296875,1.1338941526459578e-13,8.88976074200038e-14
0.8344855486097889,0.004427083333333334,2.0167642601563962e-13,1.7758382852493552e-13
0.859029241215959,0.004557291666666667,2.893095208324777e-13,2.6584223463244394e-13
0.8835729338221293,0.004687500000000001,3.7608234709649093e-13,3.534602035116935e-13
0.9081166264282996,0.0048177083333333336,4.61792179729304e-13,4.402266558012261e-13
0.9326603190344698,0.0049479166666666664,5.462403415868333e-13,5.259325635176321e-13
0.9572040116406401,0.005078125,6.292326005370519e-13,6.103714536222728e-13
0.9817477042468103,0.005208333333333334,7.10579543175899e-13,6.933399054329121e-13
1.0062913968529805,0.005338541666666667,7.900969252910915e-13,7.746380406819597e-13
1.030835089459151,0.0054687500000000005,8.67605999332821e-13,8.540700050407266e-13
