harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,6.242690770796784e-18,-6.242643374460699e-18,-2.4326099014826635e-20
2,60,1.978053552723773e-12,-1.978053552723773e-12,-1.2865988076405628e-20
3,90,2.1429499969837007e-19,-2.1386459854095387e-19,1.3574991220662205e-20
4,120,2.5318815884983258e-14,-2.5318815884983233e-14,-1.0991124437200205e-21
5,150,3.527487723619076e-21,-3.392937221658103e-21,9.649594033793797e-22
6,180,2.695177164066102e-16,-2.6951771640660147e-16,-6.852453480325323e-23
7,210,9.56933049465311e-23,-9.184893903874244e-23,2.685108953184523e-23
8,240,3.1469040926676744e-18,-3.1469040926671263e-18,-1.8574513495998254e-24
9,270,1.1320361512850827e-24,-8.99102734571893e-25,6.878372776330799e-25
10,300,3.1513286012899553e-20,-3.1513286012783913e-20,-8.537293040423019e-26
11,330,1.8184469919285682e-26,-9.872008230946464e-27,1.5271489767980434e-26
12,360,3.5736393572859495e-22,-3.5736393572858545e-22,8.245849978032889e-29
13,390,6.841770275149568e-28,-3.5203342875959543e-28,-5.866606088829935e-28
14,420,3.406573229537285e-24,-3.406573229016201e-24,5.958374056988907e-29
15,450,1.7782215573639423e-27,1.7198346955373038e-27,-4.519297811606953e-28
16,480,3.7796098605950433e-26,-3.7773880855034516e-26,1.2957603869486525e-27
