phase_rad,time_s,ac_acceleration_m_s2,second_harmonic_m_s2
0.0,0.0,-6.343162213471112e-10,-5.186354870252854e-10
0.02454369260617026,0.00013020833333333333,-6.329951325630487e-10,-5.180107661597556e-10
0.04908738521234052,0.00026041666666666666,-6.290443343830772e-10,-5.161381119861625e-10
0.07363107781851078,0.000390625,-6.225008106036648e-10,-5.130220358924355e-10
0.09817477042468103,0.0005208333333333333,-6.134253256573263e-10,-5.086700447788203e-10
0.1227184630308513,0.0006510416666666667,-6.019011472821328e-10,-5.030926229730991e-10
0.14726215563702155,0.00078125,-5.880323267383221e-10,-4.963032069729264e-10
0.1718058482431918,0.0009114583333333335,-5.719416001510739e-10,-4.883181530761292e-10
0.19634954084936207,0.0010416666666666667,-5.537679861948796e-10,-4.791566979769528e-10
0.22089323345553233,0.0011718750000000002,-5.336641628369296e-10,-4.6884091242318e-10
0.2454369260617026,0.0013020833333333335,-5.117937090449444e-10,-4.5739564804576595e-10
0.2699806186678728,0.0014322916666666666,-4.883282963692747e-10,-4.4484847748908247e-10
0.2945243112740431,0.0015625,-4.634449105340873e-10,-4.31229627986003e-10
0.3190680038802134,0.0016927083333333336,-4.373231752359463e-10,-4.165719085378509e-10
0.3436116964863836,0.001822916666666667,-4.1014284001023287e-10,-4.009106308746412e-10
0.36815538909255385,0.001953125,-3.8208148211297163e-10,-3.842835243860306e-10
0.39269908169872414,0.0020833333333333333,-3.533124596988497e-10,-3.6673064522791267e-10
0.4172427743048944,0.002213541666666667,-3.2400314091126895e-10,-3.482942798236298e-10
0.44178646691106466,0.0023437500000000003,-2.9431342148224265e-10,-3.2901884299227605e-10
0.4663301595172349,0.0024739583333333332,-2.643945325750983e-10,-3.0895077094950695e-10
0.4908738521234052,0.002604166666666667,-2.343881312465854e-10,-2.881384094386288e-10
0.5154175447295755,0.0027343750000000003,-2.0442565826413666e-10,-2.666318972614691e-10
0.5399612373357456,0.002864583333333333,-1.7462794216101366e-10,-2.444830454896107e-10
0.5645049299419159,0.002994791666666667,-1.451050243058112e-10,-2.217452126469821e-10
0.5890486225480862,0.003125,-1.1595617727438407e-10,-1.9847317616450015e-10
0.6135923151542565,0.003255208333333334,-8.727008775141335e-11,-1.7472300041644084e-10
0.6381360077604268,0.003385416666666667,-5.91251753289235e-11,-1.50551901656451e-10
0.662679700366597,0.003515625,-3.159001966917736e-11,-1.2601811017858165e-10
0.6872233929727672,0.003645833333333334,-4.723870321842776e-12,-1.0118073003540923e-10
0.7117670855789375,0.003776041666666667,2.1422784190787005e-11,-7.609959665119622e-11
0.7363107781851077,0.00390625,4.680760877696308e-11,-5.083513267311317e-11
0.760854470791278,0.004036458333333334,7.139579365294378e-11,-2.5448202407788732e-11
0.7853981633974483,0.004166666666666667,9.51594209021784e-11,3.480613534392191e-17
0.8099418560036186,0.004296875,1.1807683823903759e-10,2.544827193620839e-11
0.8344855486097889,0.004427083333333334,1.4013204998160003e-10,5.083520195018175e-11
0.859029241215959,0.004557291666666667,1.613141329337157e-10,7.609966551001919e-11
0.8835729338221293,0.004687500000000001,1.8161668281243987e-10,1.0118079831009965e-10
0.9081166264282996,0.0048177083333333336,2.0103729504251626e-10,1.2601817770465983e-10
0.9326603190344698,0.0049479166666666664,2.195770821716469e-10,1.5055196827124063e-10
0.9572040116406401,0.005078125,2.372402288265722e-10,1.7472306595946116e-10
0.9817477042468103,0.005208333333333334,2.5403358401255226e-10,1.9847324047785226e-10
1.0062913968529805,0.005338541666666667,2.699662896370024e-10,2.2174527557572934e-10
1.030835089459151,0.0054687500000000005,2.8504944339035685e-10,2.444831068821525e-10
1.055378782065321,0.005598958333333333,2.9929579352374893e-10,2.6663195696990536e-10
1.0799224746714913,0.005729166666666666,3.127194626063661e-10,2.8813846731911643e-10
1.1044661672776617,0.005859375000000001,3.253356970116962e-10,3.08950826862607e-10
1.1290098598838318,0.005989583333333334,3.371606386618162e-10,3.2901889680328895e-10
1.1535535524900022,0.0061197916666666675,3.482111154473158e-10,3.4829433140292024e-10
1.1780972450961724,0.00625,3.5850444673634124e-10,3.6673069445122127e-10
1.2026409377023426,0.006380208333333333,3.680582604919576e-10,3.8428357113477426e-10
1.227184630308513,0.006510416666666668,3.7689031873677744e-10,4.0091067503619827e-10
1.2517283229146832,0.006640625000000001,3.8501834844225623e-10,4.165719500058321e-10
1.2762720155208536,0.006770833333333334,3.9245987537960483e-10,4.3122966666050855e-10
1.3008157081270237,0.006901041666666667,3.9923205904792726e-10,4.4484851327694186e-10
1.325359400733194,0.00703125,4.053515274836372e-10,4.5739568086076314e-10
1.3499030933393643,0.007161458333333334,4.1083421153459235e-10,4.68840942186261e-10
1.3744467859455345,0.007291666666666668,4.156951790227334e-10,4.791567246164155e-10
1.3989904785517047,0.0074218750000000005,4.1994847007864253e-10,4.883181765277969e-10
1.423534171157875,0.007552083333333334,4.236069357583948e-10,4.96303227180302e-10
1.4480778637640452,0.007682291666666667,4.2668208278797315e-10,5.030926398875013e-10
1.4726215563702154,0.0078125,4.291839278617074e-10,5.086700583595007e-10
1.4971652489763858,0.007942708333333335,4.3112086529125203e-10,5.13022046106677e-10
1.521708941582556,0.008072916666666667,4.3249955191460855e-10,5.161381188093581e-10
1.5462526341887264,0.008203125,4.333248130034581e-10,5.180107695754678e-10
1.5707963267948966,0.008333333333333333,4.335995724487315e-10,5.186354870252854e-10
1.5953400194010667,0.008463541666666666,4.333248097834156e-10,5.180107661597556e-10
1.6198837120072371,0.00859375,4.324995456695798e-10,5.161381119861625e-10
1.6444274046134073,0.008723958333333334,4.311208564077268e-10,5.130220358924355e-10
1.6689710972195777,0.008854166666666668,4.291839169103378e-10,5.086700447788203e-10
1.6935147898257479,0.008984375000000001,4.2668207051267324e-10,5.030926229730991e-10
1.718058482431918,0.009114583333333334,4.236069230619967e-10,4.963032069729265e-10
1.7426021750380885,0.009244791666666669,4.1994845800556885e-10,4.883181530761292e-10
1.7671458676442586,0.009375000000000001,4.1569516873950197e-10,4.791566979769529e-10
1.7916895602504288,0.009505208333333334,4.108342043092764e-10,4.688409124231801e-10
1.8162332528565992,0.009635416666666667,4.0535152466563594e-10,4.5739564804576595e-10
1.8407769454627694,0.009765625,3.9923206204943277e-10,4.4484847748908247e-10
1.8653206380689396,0.009895833333333333,3.9245988566001435e-10,4.3122962798600316e-10
1.88986433067511,0.010026041666666667,3.8501836749645015e-10,4.165719085378509e-10
1.9144080232812801,0.01015625,3.768903480877793e-10,4.0091063087464127e-10
1.9389517158874505,0.010286458333333335,3.680583016880543e-10,3.842835243860306e-10
1.9634954084936207,0.010416666666666668,3.5850450135236476e-10,3.667306452279127e-10
1.9880391010997909,0.010546875,3.4821118508953794e-10,3.4829427982363e-10
2.012582793705961,0.010677083333333334,3.371607249757772e-10,3.290188429922763e-10
2.0371264863121317,0.010807291666666668,3.253358016922725e-10,3.0895077094950674e-10
2.061670178918302,0.010937500000000001,3.127195874094533e-10,2.8813840943862876e-10
2.086213871524472,0.011067708333333334,2.992959402790139e-10,2.6663189726146915e-10
2.110757564130642,0.011197916666666667,2.8504961401457106e-10,2.444830454896108e-10
2.1353012567368124,0.011328125,2.699664861474914e-10,2.2174521264698222e-10
2.1598449493429825,0.011458333333333333,2.540338085402446e-10,1.984731761645004e-10
2.184388641949153,0.011588541666666669,2.3724048362807534e-10,1.747230004164408e-10
2.2089323345553233,0.011718750000000002,2.1957736963972092e-10,1.5055190165645104e-10
2.2334760271614935,0.011848958333333335,2.010376177143148e-10,1.2601811017858173e-10
2.2580197197676637,0.011979166666666667,1.8161704337495944e-10,1.011807300354094e-10
2.282563412373834,0.012109375,1.6131453422604368e-10,7.60995966511965e-11
2.3071071049800045,0.012239583333333335,1.4013249499374782e-10,5.0835132673113005e-11
2.3316507975861747,0.012369791666666668,1.1807733010733037e-10,2.544820240778868e-11
2.356194490192345,0.0125,9.515996290128982e-11,-3.4806135280407386e-17
2.380738182798515,0.012630208333333334,7.139638918470497e-11,-2.5448271936208213e-11
2.405281875404685,0.012760416666666666,4.680826135595031e-11,-5.0835201950181456e-11
2.429825568010856,0.012890625000000003,2.1423497426481048e-11,-7.609966551001935e-11
2.454369260617026,0.013020833333333336,-4.723092746756904e-12,-1.011807983100997e-10
2.478912953223196,0.013151041666666669,-3.158917402510854e-11,-1.2601817770465978e-10
2.5034566458293663,0.013281250000000001,-5.912425787109151e-11,-1.5055196827124057e-10
2.5280003384355365,0.013411458333333334,-8.726909475783507e-11,-1.74723065959461e-10
2.552544031041707,0.013541666666666669,-1.159551050907567e-10,-1.984732404778524e-10
2.5770877236478773,0.013671875000000002,-1.4510386939753905e-10,-2.217452755757295e-10
2.6016314162540475,0.013802083333333335,-1.746267011720678e-10,-2.4448310688215244e-10
2.6261751088602177,0.013932291666666667,-2.0442432808183646e-10,-2.6663195696990526e-10
2.650718801466388,0.0140625,-2.343867090707466e-10,-2.881384673191164e-10
2.675262494072558,0.014192708333333333,-2.6439301598950575e-10,-3.089508268626068e-10
2.6998061866787286,0.014322916666666668,-2.943118085260332e-10,-3.290188968032891e-10
2.724349879284899,0.014453125,-3.240014301477242e-10,-3.4829433140292013e-10
2.748893571891069,0.014583333333333335,-3.533106502792352e-10,-3.667306944512212e-10
2.773437264497239,0.014713541666666668,-3.820795738334502e-10,-3.8428357113477426e-10
2.7979809571034093,0.014843750000000001,-4.1014083336041025e-10,-4.009106750361981e-10
2.82252464970958,0.014973958333333336,-4.373210714382515e-10,-4.1657195000583223e-10
2.84706834231575,0.015104166666666669,-4.634427115737637e-10,-4.312296666605085e-10
2.8716120349219203,0.015234375000000001,-4.883260050151891e-10,-4.4484851327694186e-10
2.8961557275280905,0.015364583333333334,-5.117913288616174e-10,-4.573956808607631e-10
2.9206994201342606,0.015494791666666667,-5.33661698188121e-10,-4.688409421862609e-10
2.945243112740431,0.015625,-5.53765442238719e-10,-4.791567246164154e-10
2.9697868053466014,0.015755208333333336,-5.719389828262297e-10,-4.883181765277969e-10
2.9943304979527716,0.01588541666666667,-5.880296427401315e-10,-4.96303227180302e-10
3.018874190558942,0.016015625000000002,-6.018984040271735e-10,-5.030926398875013e-10
3.043417883165112,0.016145833333333335,-6.134225312346238e-10,-5.086700583595006e-10
3.067961575771282,0.016276041666666668,-6.224979737108821e-10,-5.130220461066769e-10
3.0925052683774528,0.01640625,-6.29041464246469e-10,-5.161381188093582e-10
3.117048960983623,0.016536458333333334,-6.329922388408622e-10,-5.180107695754678e-10
3.141592653589793,0.016666666666666666,-6.343133140172131e-10,-5.186354870252854e-10
3.1661363461959633,0.016796875,-6.329922733789078e-10,-5.180107661597556e-10
3.1906800388021335,0.016927083333333332,-6.290415332151416e-10,-5.161381119861625e-10
3.215223731408304,0.01705729166666667,-6.224980768848105e-10,-5.130220358924355e-10
3.2397674240144743,0.0171875,-6.134226682509322e-10,-5.086700447788203e-10
3.2643111166206444,0.017317708333333334,-6.018985743596912e-10,-5.030926229730992e-10
3.2888548092268146,0.017447916666666667,-5.880298456710818e-10,-4.963032069729265e-10
3.313398501832985,0.017578125,-5.719392174194825e-10,-4.883181530761292e-10
3.3379421944391554,0.017708333333333336,-5.537657073185902e-10,-4.791566979769528e-10
3.3624858870453256,0.01783854166666667,-5.33661992327101e-10,-4.6884091242318e-10
3.3870295796514958,0.017968750000000002,-5.117916503794534e-10,-4.5739564804576595e-10
3.411573272257666,0.018098958333333335,-4.883263519905884e-10,-4.448484774890825e-10
3.436116964863836,0.018229166666666668,-4.634430818687899e-10,-4.3122962798600316e-10
3.4606606574700063,0.018359375,-4.3732146273432925e-10,-4.1657190853785106e-10
3.485204350076177,0.018489583333333337,-4.1014124320397216e-10,-4.0091063087464116e-10
3.509748042682347,0.01861979166666667,-3.820799996885301e-10,-3.8428352438603065e-10
3.5342917352885173,0.018750000000000003,-3.533110895839306e-10,-3.667306452279127e-10
3.5588354278946874,0.018880208333333336,-3.240018803712827e-10,-3.4829427982363003e-10
3.5833791205008576,0.01901041666666667,-2.943122672234301e-10,-3.290188429922763e-10
3.6079228131070282,0.019140625,-2.643934808506419e-10,-3.089507709495068e-10
3.6324665057131984,0.019270833333333334,-2.3438717796188767e-10,-2.881384094386288e-10
3.6570101983193686,0.019401041666666667,-2.0442479907747967e-10,-2.666318972614692e-10
3.6815538909255388,0.01953125,-1.746271725761058e-10,-2.4448304548961083e-10
3.706097583531709,0.019661458333333333,-1.4510433975331007e-10,-2.2174521264698227e-10
3.730641276137879,0.019791666666666666,-1.1595557318027412e-10,-1.9847317616450046e-10
3.7551849687440497,0.019921875000000002,-8.726955959113326e-11,-1.7472300041644084e-10
3.77972866135022,0.020052083333333335,-5.912471866718294e-11,-1.505519016564511e-10
3.80427235395639,0.020182291666666668,-3.158963018642345e-11,-1.2601811017858178e-10
3.8288160465625602,0.0203125,-4.723543829193189e-12,-1.0118073003540946e-10
3.8533597391687304,0.020442708333333334,2.1423051745716556e-11,-7.609959665119658e-11
3.877903431774901,0.02057291666666667,4.6807821310601893e-11,-5.083513267311307e-11
3.902447124381071,0.020703125000000003,7.139595494991737e-11,-2.5448202407788745e-11
3.9269908169872414,0.020833333333333336,9.515953462064257e-11,3.4806135216892855e-17
3.9515345095934116,0.02096354166666667,1.1807690791521178e-10,2.5448271936208152e-11
3.9760782021995817,0.02109375,1.4013207903220548e-10,5.083520195018139e-11
4.000621894805752,0.021223958333333334,1.613141246556714e-10,7.609966551001883e-11
4.025165587411922,0.021354166666666667,1.8161664037979001e-10,1.0118079831009918e-10
4.049709280018092,0.021484375,2.0103722150105073e-10,1.2601817770465926e-10
4.074252972624263,0.021614583333333336,2.1957698043198636e-10,1.5055196827124099e-10
4.0987966652304335,0.02174479166666667,2.3724010165662267e-10,1.7472306595946137e-10
4.123340357836604,0.021875000000000002,2.54033434030227e-10,1.9847324047785234e-10
4.147884050442774,0.022005208333333335,2.6996611930396363e-10,2.2174527557572942e-10
4.172427743048944,0.022135416666666668,2.850492550073851e-10,2.444831068821524e-10
4.196971435655114,0.022265625,2.9929558922814783e-10,2.666319569699052e-10
4.221515128261284,0.022395833333333334,3.127192443716773e-10,2.8813846731911633e-10
4.246058820867455,0.022526041666666666,3.253354666498721e-10,3.0895082686260674e-10
4.270602513473625,0.02265625,3.3716039782792114e-10,3.290188968032887e-10
4.295146206079795,0.022786458333333332,3.4821086564670677e-10,3.482943314029198e-10
4.319689898685965,0.022916666666666665,3.585041893341715e-10,3.667306944512209e-10
4.344233591292136,0.023046875000000005,3.680579967246467e-10,3.842835711347745e-10
4.368777283898306,0.023177083333333338,3.7689004972489663e-10,4.009106750361983e-10
4.3933209765044765,0.02330729166666667,3.850180752040222e-10,4.165719500058322e-10
4.417864669110647,0.023437500000000003,3.9245959884398613e-10,4.3122966666050844e-10
4.442408361716817,0.023567708333333336,3.9923178006624946e-10,4.448485132769418e-10
4.466952054322987,0.02369791666666667,4.053512468385935e-10,4.573956808607631e-10
4.491495746929157,0.023828125000000002,4.1083392994575665e-10,4.688409421862609e-10
4.516039439535327,0.023958333333333335,4.1569489714799183e-10,4.791567246164154e-10
4.540583132141498,0.024088541666666668,4.199481885113822e-10,4.883181765277967e-10
4.565126824747668,0.02421875,4.2360665502072877e-10,4.963032271803018e-10
4.589670517353839,0.024348958333333337,4.2668180332064065e-10,5.030926398875013e-10
4.614214209960009,0.02447916666666667,4.291836500115229e-10,5.086700583595007e-10
4.638757902566179,0.024609375000000003,4.3112058929705943e-10,5.13022046106677e-10
4.663301595172349,0.024739583333333336,4.3249927789264283e-10,5.161381188093582e-10
4.6878452877785195,0.02486979166666667,4.333245409328776e-10,5.180107695754678e-10
4.71238898038469,0.025,4.335993021579641e-10,5.186354870252854e-10
4.73693267299086,0.025130208333333334,4.333245409378709e-10,5.180107661597556e-10
4.76147636559703,0.025260416666666667,4.324992777613039e-10,5.161381119861625e-10
4.7860200582032,0.025390625,4.3112058874761836e-10,5.130220358924356e-10
4.81056375080937,0.025520833333333333,4.291836486236156e-10,5.086700447788204e-10
4.8351074434155406,0.025651041666666666,4.2668180053827225e-10,5.030926229730993e-10
4.859651136021712,0.025781250000000006,4.236066501564237e-10,4.963032069729264e-10
4.884194828627882,0.02591145833333334,4.199481807514536e-10,4.883181530761291e-10
4.908738521234052,0.02604166666666667,4.156948855586451e-10,4.791566979769528e-10
4.933282213840222,0.026171875000000004,4.1083391347951267e-10,4.6884091242318e-10
4.957825906446392,0.026302083333333337,4.0535122434036113e-10,4.57395648045766e-10
4.9823695990525625,0.02643229166666667,3.992317502783155e-10,4.4484847748908257e-10
5.006913291658733,0.026562500000000003,3.924595604092433e-10,4.312296279860032e-10
5.031456984264903,0.026692708333333336,3.8501802666696226e-10,4.165719085378511e-10
5.056000676871073,0.02682291666666667,3.7688998953017184e-10,4.009106308746415e-10
5.080544369477243,0.026953125,3.680579232133145e-10,3.84283524386031e-10
5.105088062083414,0.027083333333333338,3.5850410073806805e-10,3.667306452279124e-10
5.129631754689584,0.02721354166666667,3.482107600816552e-10,3.4829427982362967e-10
5.154175447295755,0.027343750000000003,3.3716027328665313e-10,3.29018842992276e-10
5.178719139901925,0.027473958333333336,3.253353209956354e-10,3.0895077094950684e-10
5.203262832508095,0.02760416666666667,3.127190753334781e-10,2.8813840943862886e-10
5.227806525114265,0.027734375000000002,2.992953943984534e-10,2.666318972614693e-10
5.252350217720435,0.027864583333333335,2.850490318429158e-10,2.444830454896109e-10
5.2768939103266055,0.027994791666666668,2.6996586512995145e-10,2.2174521264698235e-10
5.301437602932776,0.028125,2.5403314604820705e-10,1.9847317616450052e-10
5.325981295538946,0.028255208333333334,2.372397769555375e-10,1.7472300041644133e-10
5.350524988145116,0.028385416666666666,2.1957661600210873e-10,1.5055190165645159e-10
5.375068680751287,0.028515625000000003,2.0103681425002712e-10,1.260181101785814e-10
5.399612373357457,0.028645833333333336,1.8161618714995274e-10,1.0118073003540907e-10
5.424156065963627,0.02877604166666667,1.6131362224176878e-10,7.609959665119618e-11
5.448699758569798,0.02890625,1.401315241987611e-10,5.083513267311313e-11
5.473243451175968,0.029036458333333334,1.1807629741290343e-10,2.5448202407788806e-11
5.497787143782138,0.02916666666666667,9.51588652013545e-11,-3.480613515337833e-17
5.522330836388308,0.029296875000000003,7.139522338044748e-11,-2.5448271936208087e-11
5.546874528994478,0.029427083333333336,4.680702438533496e-11,-5.083520195018133e-11
5.5714182216006485,0.02955729166666667,2.1422186298909958e-11,-7.609966551001878e-11
5.595961914206819,0.029687500000000002,-4.724480910595637e-12,-1.0118079831009913e-10
5.620505606812989,0.029817708333333335,-3.159064194831624e-11,-1.260181777046592e-10
5.64504929941916,0.02994791666666667,-5.912580807095828e-11,-1.5055196827124088e-10
5.66959299202533,0.030078125000000004,-8.727072949226371e-11,-1.7472306595946132e-10
5.6941366846315,0.030208333333333337,-1.159568263017576e-10,-1.9847324047785228e-10
5.71868037723767,0.03033854166666667,-1.4510567865314432e-10,-2.2174527557572937e-10
5.743224069843841,0.030468750000000003,-1.7462859960831407e-10,-2.4448310688215234e-10
5.767767762450011,0.030598958333333336,-2.0442631634659308e-10,-2.6663195696990515e-10
5.792311455056181,0.03072916666666667,-2.34388787271229e-10,-2.881384673191163e-10
5.816855147662351,0.030859375,-2.6439518364517286e-10,-3.089508268626067e-10
5.841398840268521,0.030989583333333334,-2.943140645283228e-10,-3.2901889680328864e-10
5.8659425328746915,0.031119791666666667,-3.2400377272767456e-10,-3.4829433140291977e-10
5.890486225480862,0.03125,-3.533130769836015e-10,-3.6673069445122086e-10
5.915029918087033,0.03138020833333334,-3.8208208150942693e-10,-3.8428357113477447e-10
5.939573610693203,0.03151041666666667,-4.1014341814866177e-10,-4.0091067503619827e-10
5.964117303299373,0.031640625000000006,-4.373237287736503e-10,-4.165719500058321e-10
5.988660995905543,0.03177083333333334,-4.6344543619310145e-10,-4.3122966666050844e-10
6.013204688511713,0.03190104166666667,-4.883287909712022e-10,-4.448485132769418e-10
6.037748381117884,0.032031250000000004,-5.117941695429551e-10,-4.5739568086076304e-10
6.062292073724054,0.03216145833333334,-5.33664586345289e-10,-4.688409421862608e-10
6.086835766330224,0.03229166666666667,-5.53768370016567e-10,-4.791567246164154e-10
6.111379458936394,0.032421875,-5.719419418040337e-10,-4.883181765277967e-10
6.135923151542564,0.032552083333333336,-5.880326239806985e-10,-4.963032271803018e-10
6.160466844148735,0.03268229166666667,-6.019013981365716e-10,-5.030926398875013e-10
6.1850105367549055,0.0328125,-6.134255284340356e-10,-5.086700583595007e-10
6.209554229361076,0.032942708333333334,-6.225009639216496e-10,-5.13022046106677e-10
6.234097921967246,0.03307291666666667,-6.290444371887047e-10,-5.161381188093581e-10
6.258641614573416,0.033203125,-6.329951841450445e-10,-5.180107695754678e-10
