harmonic,frequency_hz,peak_amplitude_m_s2,real_m_s2,imag_m_s2
1,30,8.576174935817951e-16,8.574887900789982e-16,1.4857327699698665e-17
2,60,1.811791186413819e-12,-1.8117911864116926e-12,2.775807713385592e-18
3,90,3.3586035742271125e-17,3.358059494624577e-17,6.045162837229939e-19
4,120,2.4092588333114843e-14,-2.409258833298524e-14,7.90249907463375e-20
5,150,6.9217093597984375e-19,6.920369458954333e-19,1.3618741899823903e-20
6,180,2.463784117782727e-16,-2.4637841177308505e-16,1.5988309672029953e-21
7,210,1.1866649836235586e-20,1.1863876428282816e-20,2.565432327414565e-22
8,240,2.9760958844957573e-18,-2.9760958843449405e-18,2.996150554659716e-23
9,270,1.8608439062087074e-22,1.8602896117429523e-22,4.5415897165377205e-24
10,300,2.861113518988975e-20,-2.86111351861908e-20,4.600681081821371e-25
11,330,2.805850616815557e-24,2.804937262864717e-24,7.158655793673452e-26
12,360,3.3656557421584095e-22,-3.365655741229583e-22,7.907099133800099e-27
13,390,4.0504431579340455e-26,4.036012575058082e-26,-3.416025023733751e-27
14,420,3.0588105239747183e-24,-3.0588098751931575e-24,1.9922347531536666e-27
15,450,1.3078551005852825e-27,1.2700106253019025e-27,3.123427216171529e-28
16,480,3.6667792289914727e-26,-3.662781163333998e-26,1.7118429743683395e-27
