mode,frequency_hz,x_fraction,y_fraction,z_fraction,insert_kinetic_fraction,generalized_mass_kg,angular_acceleration_effective_inertia_fraction,left_com_x,left_com_y,left_com_z,right_com_x,right_com_y,right_com_z
1,78.57701,0.021578279974568373,5.926526128827421e-07,0.9784211273728116,0.6612193600108786,0.9999999701471795,4.349769163378708e-08,-2.6202323168770984e-07,8.06986959850671e-05,0.3980507494463434,-6.02584717689251e-07,-6.67216231150621e-05,-0.39822793426313496
2,93.72558,0.27068226434852416,0.7293168687082305,8.66943238207261e-07,0.4815550040768189,0.9999999719745968,0.9985944547506368,-2.2324163363260454e-06,-0.344663240679463,-0.0002612957221195678,-2.0266822445058807e-06,0.344732418210784,-0.0004279465179243528
3,102.9841,0.01966900145740891,2.7633728578870525e-05,0.9803033648140065,0.6333373191332987,0.9999999773342089,8.082647275141287e-07,2.024383545801979e-07,0.00030050711974397807,-0.390092820014203,-5.445389866897767e-07,-0.0003193222217811106,-0.389904650902721
4,123.9376,4.970930225748755e-06,0.03148538847264324,0.9685096405971192,0.03971236577318984,0.9999999870307529,3.31862542708347e-11,1.5237004799710516e-06,-1.4902575900306835e-07,0.00017076234014526862,-4.566761652180727e-08,6.463060261914294e-06,0.00011775499100036505
5,232.6629,0.0067405688068759425,0.0020934261569810694,0.9911660050361468,0.0879572345928067,1.000000003100566,2.8430206200851204e-09,-1.3354630155022583e-06,-3.42984728921792e-05,-0.14097999929053118,3.5822973933520813e-06,2.843212929580895e-05,-0.14105260708996725
6,267.8356,0.0018470573897009625,0.11417140490836658,0.8839815377019266,0.14954294523092077,1.0000000156814917,2.1175735695606724e-10,3.5207171936905674e-06,6.006820563726517e-06,2.0803820423951785e-05,-1.132843049519122e-06,1.8734621524166037e-05,3.780811011795174e-05
7,467.7907,0.024074576859348433,0.9759241500412112,1.2730994377915388e-06,0.6483749128115218,1.0000000063652819,5.526136401837046e-09,-5.867007903076033e-05,-0.4018735592108725,-9.719554496817716e-06,2.366306357162692e-05,-0.40214683342106117,2.0822453010736624e-05
8,569.3974,0.6868017706888041,0.313196150713235,2.0785979551503418e-06,0.18882912128243187,1.000000024640133,0.0002852892303154005,-0.00011172161837392899,-0.2017295690381137,7.916024405503922e-06,-5.684348391200655e-05,0.20112911863412494,-2.7602872498573757e-05
