mesh_size_m,rpm,nodes,elements,first_frequency_hz,max_aluminum_integration_point_vm_pa,max_displacement_m,aluminum_mass_kg,aluminum_polar_inertia_kg_m2,steel_mass_kg,steel_polar_inertia_kg_m2,quadrupole_x2_minus_y2_kg_m2,insert_radius_m,insert_height_m,outer_extent_m,a2_at_0.5m_m_s2,a2_at_1m_m_s2,a2_at_2m_m_s2,quadrature_mass_kg,case,shape,center_m,spoke_width_m,rim_width_m
0.018,1800.0,9774,4756,78.62512,38804534.03825054,6.468749530931563e-05,3.918346114049538,0.1672133222306652,3.995163377570139,0.16160435862271216,0.1586404514118145,0.03,0.09,0.25,4.260097993590603e-10,2.4452842754214393e-11,1.4984153233952162e-12,7.913008911923412,baseline,cylinder,0.2,0.025,0.035
0.018,1800.0,8955,4305,68.51014,59911361.73613198,0.00010258522262299226,2.770085366186796,0.11584518995688585,5.14342412543288,0.2088873122941429,0.20935759475170035,0.035,0.08512688147466546,0.25,5.646003650241502e-10,3.2299710359764257e-11,1.977989682416315e-12,7.913218220965921,best_quadrupole,cylinder,0.2,0.02,0.02
0.018,1800.0,8794,4233,75.51513,56135907.09669263,7.761505850069465e-05,2.894689251001466,0.12036601646233586,5.018820240616188,0.1662216882742405,0.1701560420899308,0.04241678941043891,0.08483357882087782,0.25,4.510915589529788e-10,2.614454770005401e-11,1.6057311569841251e-12,7.912000403596633,best_sphere,sphere,0.18,0.02,0.02
0.018,1800.0,9688,4747,90.10572,34159031.22039657,4.974661556234651e-05,3.483671896042741,0.127238631477438,4.429837595576935,0.17990677935036836,0.17469918379418548,0.035,0.07331657875267238,0.25,4.727455585295896e-10,2.697082968648091e-11,1.6508035612878414e-12,7.913263797239478,wide_spokes,cylinder,0.2,0.04,0.02
