case,region,window_index,window_radius_mm,fine_mean_vm_mpa,coarse_mean_vm_mpa,mean_vm_change_pct,sampled_volume_change_pct
baseline_rounded,weighted_hub,1,5.0,26.141529199580155,26.327079226089243,-0.704787739329682,1.2640531427987378
baseline_rounded,weighted_hub,2,5.0,26.108132390757735,26.208466904111066,-0.3828324400676486,1.4816443253751865
baseline_rounded,weighted_hub,3,5.0,26.139542149414083,26.32284178480861,-0.6963520006426971,3.057679179062056
baseline_rounded,weighted_hub,4,5.0,26.138474044179727,26.312760705369104,-0.662365546287258,-0.679918571462379
baseline_rounded,weighted_hub,1,10.0,22.815904477567507,22.672180395185844,0.633922630627004,3.3727026275060856
baseline_rounded,weighted_hub,2,10.0,22.744374830749553,22.752959749732778,-0.0377309988575214,0.4854486242545253
baseline_rounded,weighted_hub,3,10.0,22.752337299550028,22.72644563809478,0.11392745644240865,-1.3995806873251415
baseline_rounded,weighted_hub,4,10.0,22.763873068025603,22.784778994171557,-0.09175391234341745,0.19691583665493173
baseline_rounded,inner_insert_boss,1,5.0,23.035304836843185,23.431658372560413,-1.6915300206893469,-3.093818038411633
baseline_rounded,inner_insert_boss,2,5.0,22.601205181527295,23.03441101731637,-1.8806898750890921,-3.3538585949284716
baseline_rounded,inner_insert_boss,3,5.0,23.480582286509907,22.79063992851938,3.027305771818889,8.462688669325292
baseline_rounded,inner_insert_boss,4,5.0,22.91652303390881,23.123527562620712,-0.8952117195411224,5.955694682290047
baseline_rounded,inner_insert_boss,1,10.0,20.413072890120482,20.393170348849658,0.0975941500530153,3.089901289617192
baseline_rounded,inner_insert_boss,2,10.0,20.409220691857346,20.60552779166496,-0.9526914417937071,-1.3169902565599023
baseline_rounded,inner_insert_boss,3,10.0,20.499985351054143,20.422270907227258,0.38053771874793085,0.5326278022436126
baseline_rounded,inner_insert_boss,4,10.0,20.527892102231085,20.435180653673108,0.45368548548316845,2.1723424075564823
baseline_rounded,unweighted_hub,1,5.0,3.627995705662176,3.7240982367935835,-2.580558433768676,1.7160634176898837
baseline_rounded,unweighted_hub,2,5.0,3.575513323884812,3.6480552101724295,-1.9885084547333065,2.701162786166167
baseline_rounded,unweighted_hub,3,5.0,3.547536216519074,3.6575998860866075,-3.009177411291275,2.315891745218801
baseline_rounded,unweighted_hub,4,5.0,3.619401546569587,3.5853766084026644,0.9489920274255548,-1.681486200744542
baseline_rounded,unweighted_hub,1,10.0,4.494714583977063,4.65307929679703,-3.40343894265841,1.6710274602047326
baseline_rounded,unweighted_hub,2,10.0,4.61441305137173,4.553800942183663,1.3310223691727963,-2.2728830407333867
baseline_rounded,unweighted_hub,3,10.0,4.531356992901101,4.607053346449263,-1.6430535497597987,1.3551050310559587
baseline_rounded,unweighted_hub,4,10.0,4.547723562502109,4.455387131968425,2.0724670561431013,-2.8647859050247915
baseline_rounded,unweighted_rim,1,5.0,3.856773245641719,3.7965654858548037,1.5858480516465878,9.469117079734989
baseline_rounded,unweighted_rim,2,5.0,3.917788632300851,3.893356781123278,0.6275266447716588,2.5365164277375785
baseline_rounded,unweighted_rim,3,5.0,3.869587576531792,3.728671307242158,3.779262307619713,12.254170491980965
baseline_rounded,unweighted_rim,4,5.0,3.91497652998626,3.965072906390447,-1.2634414949457162,13.610061728795774
baseline_rounded,unweighted_rim,1,10.0,3.9736508586909967,3.9392763491977294,0.8726097497645302,2.947959690527746
