mesh_size_m,rpm,nodes,elements,first_frequency_hz,max_aluminum_integration_point_vm_pa,max_displacement_m,aluminum_mass_kg,aluminum_polar_inertia_kg_m2,steel_mass_kg,steel_polar_inertia_kg_m2,quadrupole_x2_minus_y2_kg_m2,insert_radius_m,insert_height_m,outer_extent_m,a2_at_0.5m_m_s2,a2_at_1m_m_s2,a2_at_2m_m_s2,quadrature_mass_kg,case,shape,center_m,spoke_width_m,rim_width_m,fillet_radius_m
0.018,1800.0,94538,59831,78.54927,49463532.542907506,6.475536181948247e-05,3.920264179024838,0.1672861479266489,3.993245312594839,0.16152677289446127,0.15858757553177139,0.03,0.08995679129200418,0.25,4.246801600293066e-10,2.4376491754426463e-11,1.4937365327083985e-12,7.901624423695307,baseline_rounded,cylinder,0.2,0.025,0.035,0.003
0.013,1800.0,130121,83206,78.50021,53463302.9475712,6.468117691436154e-05,3.920264179024838,0.1672861479266489,3.993245312594839,0.16152677289446127,0.15858757553177139,0.03,0.08995679129200418,0.25,4.247129620515222e-10,2.437835994769024e-11,1.493850839226686e-12,7.902599779078572,baseline_rounded,cylinder,0.2,0.025,0.035,0.003
0.018,1800.0,96983,62185,79.99713,50171834.27367054,6.805626583971726e-05,3.125748121564931,0.12162835094375493,4.787761370054745,0.1944429586413484,0.1921056617196323,0.035,0.07924044075275058,0.25,5.180070465138416e-10,2.95925868593851e-11,1.811729132057708e-12,7.9042001873996695,medium_rounded,cylinder,0.2,0.03,0.02,0.003
0.013,1800.0,113451,72297,79.86901,58126547.20137538,6.811699179239765e-05,3.125748121564931,0.12162835094375493,4.787761370054745,0.1944429586413484,0.1921056617196323,0.035,0.07924044075275058,0.25,5.180259430854155e-10,2.9593611465892357e-11,1.811791186413809e-12,7.904853521291686,medium_rounded,cylinder,0.2,0.03,0.02,0.003
0.018,1800.0,80806,51551,89.98263,40667470.753019355,4.97402454420484e-05,3.4862602666625975,0.12736562299758183,4.427249224957079,0.17980165914856938,0.1746606641404343,0.035,0.07327373960241067,0.25,4.718297433235433e-10,2.6918246306278503e-11,1.6475812009608079e-12,7.905177253385034,wide_rounded,cylinder,0.2,0.04,0.02,0.003
0.013,1800.0,84634,53174,89.90933,42151017.91962912,4.976358023503801e-05,3.4862602666625975,0.12736562299758183,4.427249224957079,0.17980165914856938,0.1746606641404343,0.035,0.07327373960241067,0.25,4.718133035407954e-10,2.6917295827915868e-11,1.6475228568906412e-12,7.905854102366075,wide_rounded,cylinder,0.2,0.04,0.02,0.003
