mesh_size_m,rpm,nodes,elements,first_frequency_hz,max_aluminum_integration_point_vm_pa,max_displacement_m,aluminum_mass_kg,aluminum_polar_inertia_kg_m2,steel_mass_kg,steel_polar_inertia_kg_m2,quadrupole_x2_minus_y2_kg_m2,insert_radius_m,insert_height_m,outer_extent_m,a2_at_0.5m_m_s2,a2_at_1m_m_s2,a2_at_2m_m_s2,quadrature_mass_kg,case,shape,center_m,spoke_width_m,rim_width_m
0.018,1800.0,8648,4167,80.13292,39455268.97718955,6.805840936105171e-05,3.1230459089540537,0.12150163752464452,4.790463582665622,0.19455270225100763,0.19214661451748544,0.035,0.07928516405906089,0.25,5.190873765143248e-10,2.9654624940958746e-11,1.815530900677425e-12,7.913244132088449,medium_spokes,cylinder,0.2,0.03,0.02
0.018,1800.0,8663,4192,71.50811,58838285.106843695,8.924393597009799e-05,2.812247422326595,0.11691143457825208,5.101262069276162,0.19245484942355864,0.19294288962829265,0.04264778281458064,0.08529556562916128,0.2500000002708617,5.185316752640298e-10,2.973499019935364e-11,1.822086545287599e-12,7.911977289662088,sphere_outer_limit,sphere,0.1923522174562811,0.02,0.02
0.013,1800.0,14211,7073,68.3705,61327967.623648874,0.00010290091237178893,2.770085366186796,0.11584518995688585,5.14342412543288,0.2088873122941429,0.20935759475170035,0.035,0.08512688147466546,0.25,5.646189747736058e-10,3.230075672691446e-11,1.9780535527237604e-12,7.913390864836845,best_quadrupole,cylinder,0.2,0.02,0.02
0.013,1800.0,14728,7327,79.92582,43240930.75369417,6.827269406151204e-05,3.1230459089540537,0.12150163752464452,4.790463582665622,0.19455270225100763,0.19214661451748544,0.035,0.07928516405906089,0.25,5.191041437112148e-10,2.965556622137419e-11,1.8155883322405157e-12,7.913398732434786,medium_spokes,cylinder,0.2,0.03,0.02
0.013,1800.0,15652,7851,89.97858,34261481.42559744,4.981982342504296e-05,3.483671896042741,0.127238631477438,4.429837595576935,0.17990677935036836,0.17469918379418548,0.035,0.07331657875267238,0.25,4.727613039565059e-10,2.697171395657199e-11,1.6508575180501518e-12,7.913407796356621,wide_spokes,cylinder,0.2,0.04,0.02
0.013,1800.0,14439,7271,71.33022,59060752.984138556,8.955043462472246e-05,2.812247422326595,0.11691143457825208,5.101262069276162,0.19245484942355864,0.19294288962829265,0.04264778281458064,0.08529556562916128,0.2500000002708617,5.186354870252863e-10,2.974094968365795e-11,1.8224517702869773e-12,7.913030204694026,sphere_outer_limit,sphere,0.1923522174562811,0.02,0.02
